index,video_id,title,publishedat,channelid,channeltitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
168341,_I9LU-rpJZo,DIBUJO EN MINECRAFT Y GANO TODAS LAS PARTIDAS 4  PIXEL PAINTERS,2022-11-21,UCXtJs6rXKTQe5JhOslTeJTA,Mr Phillip,Gaming,2022-11-28,MIZTERFILIP|MRPHILLIP|MISTER|PHILIP|minecraft|PIXEL PAINTERS|PIXEL|PAINTERS|dibujo|DIBUJANDO|GANANDO TODAS LAS PARTIDAS|MAINCRA|DIBUJOS EN MINECRAFT|PINTAR EN MINECRAFT|CHALLENGE|REDIBUJANDO|PASSPARTOUT|PHILLIPINI ARTISTINI|GAMEPLAY|ESPAÑOL|MULTIJIGADOR|EPICO|EPIC|minijuego|skywars|pvp|pixel|gano|gameplay|partidas|painters|PUBG MOBILE,150268,21424,0,595,https://i.ytimg.com/vi/_I9LU-rpJZo/default.jpg,false,false
168342,ka1cfP1qiXs,RM Indigo Identity Film,2022-11-22,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,Music,2022-11-28,HYBE|HYBE LABELS|하이브|하이브레이블즈,1689761,541167,0,16162,https://i.ytimg.com/vi/ka1cfP1qiXs/default.jpg,false,false
168343,V8HbEVMhDnE,Como dibujar y animar historias ,2022-11-20,UCGDXvB6qgN7JQ1w2_rBalFA,Dreamau,Entertainment,2022-11-28,None,855269,78407,0,4761,https://i.ytimg.com/vi/V8HbEVMhDnE/default.jpg,false,false
168344,LRgmVivhcDk,FRANCIA 20 ESPAÑA RESUMEN PARTIDAZO DE YOUTUBERS 3  DjMaRiiO vs AMINE,2022-11-20,UCi7TVXyvrIwqeS9tfYD8UDA,DjMaRiiO,Gaming,2022-11-28,djmariio|djmario|djmarrio|djmarioo|dj|mario|mariio|fut|fifa|futdraft|draft|xbox|one|plantilla|discard|challenge|pack|opening|handicap|pc|español|trucos|spain|spanish|the journey|el camino|MODO HISTORIA|22|fifa 22 modo carrera|xbox series x|volta|no mires mis etiquetas crack jaja|PS5|PS4|FIFA ULTIMATE TEAM 22|fifa 23|fut 23|ea sports fc 24|fifa 24|ea sports fc|23|fifa 23 djmariio|fifa 23 ps4|fifa 23 modo carrera|fifa 23 nintento switch|fifa 23 gratis,3013508,101021,0,6330,https://i.ytimg.com/vi/LRgmVivhcDk/default.jpg,false,false
168345,lLl5x-fVJxg,CRISTIANO RONALDO sobre lo que pasó con EL MANCHESTER UNITED  HABLÓ DESDE QATAR,2022-11-21,UCDVPddFTlW1KIz2eIH_JIyg,SUPER BOCA TV,Sports,2022-11-28,None,561488,2410,0,16,https://i.ytimg.com/vi/lLl5x-fVJxg/default.jpg,false,false
168346,ypUdE7O3IRc,JS4E,2022-11-21,UCVcAt8IIKIeubRSigcYXgtA,Arcangel  Topic,Music,2022-11-28,Arcángel|Austin Santos|JS4E,1213041,48765,0,23,https://i.ytimg.com/vi/ypUdE7O3IRc/default.jpg,false,false
168347,G5LkbwhlHa8,24 HORAS en STREAM desde el TECHO,2022-11-21,UCgTOIiEgjm58xLjHvDjmgdA,Spreen,Gaming,2022-11-28,Juego Spreen Español ARGENTINA|GRATIS|PRO|NOOB|SPREENDMC|SPREEN|PVP|ARGENTINA|ARGENTINO|CRAFT|EPICO|GRACISOSO|DIVERTIDO,1403270,110984,0,2511,https://i.ytimg.com/vi/G5LkbwhlHa8/default.jpg,false,false
168348,8J6yunQGZBU,ROSALÍA  DESPECHÁ Live at the NRJ Music Awards 2022,2022-11-20,UCy2bCk5KnIfjmWYFHMZcd5w,RosaliaVEVO,Music,2022-11-28,Columbia|DESPECHÁ|Latin Pop|ROSALÍA,1315831,43538,0,1443,https://i.ytimg.com/vi/8J6yunQGZBU/default.jpg,false,false
168349,lbCcLxmH0h0,Maquillista Reacciona a Maquillaje de 15 años  Pamela Segura,2022-11-21,UC3uqOW3ghgoiUndj8gnfw4w,Pamela Segura,Howto & Style,2022-11-28,maquillista|reacciona|pro mua|reacts|maquillaje|15 años|maquillaje 15 años|quinceañera|pamela segura|pame segura|mua|maquillador|profesional|professional|pro mua reacts|el peor maquillaje de mi ciudad,255406,17837,0,977,https://i.ytimg.com/vi/lbCcLxmH0h0/default.jpg,false,false
168350,W8GKKNivmVI,LA MERA REALIDAD DE LO QUÉ PASÓ CON CHARLY Y MI FAMILIA,2022-11-21,UCHq1Dc01n-qJ0wkbHZC9PXA,Silvia Rodríguez  y Familia,People & Blogs,2022-11-28,None,125058,11963,0,6213,https://i.ytimg.com/vi/W8GKKNivmVI/default.jpg,false,false
