index,video_id,title,publishedat,channelid,channeltitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
167267,wqjKPUSLd3Q,ALI471 x DORIAN  AUS VERSEHEN official Video,2022-11-17,UCVosYZwg3hpLrykbqBR15uA,ALI471,Music,2022-11-22,ali471|dorian|icon|moulaga|krankenwagen|icon4|aus versehen|hadi gel gezelim|ali471 x dorian|goalgetter,79400,6334,0,396,https://i.ytimg.com/vi/wqjKPUSLd3Q/default.jpg,false,false
167268,auOUMROTbWg,OttoBulletproof reagiert auf 7 vs Wild Tote Haie im Krokodilgebiet,2022-11-17,UCGgJQ2RbUW99O_kVzlshvGg,OttoBulletproof,People & Blogs,2022-11-22,None,230518,7898,0,360,https://i.ytimg.com/vi/auOUMROTbWg/default.jpg,false,false
167269,_Q38M9umxQc,Hochspannung im Viertelfinale mit Barney Smith  Price Grand Slam of Darts  Viertelfinale  DAZN,2022-11-18,UCdye_sb1GJ8ui-3xrEZYaMw,DAZN Darts,Sports,2022-11-22,Joe Cullen|Michael Smith|Raymond van Barneveld|Gerwyn Price|Price|van Barneveld|Cullen|Smith|Grand Slam of Darts|Grand Slam of Darts Highlights|Grand Slam of Darts DAZN|DAZN Grand Slam of Darts|DAZN|Highlights Grand Slam of Darts|DAZN Highlights|DAZN Highlights Grand Slam of Darts|Grand Slam of Darts Highlights DAZN|DAZN Darts,73960,1658,0,134,https://i.ytimg.com/vi/_Q38M9umxQc/default.jpg,false,false
167270,VYK7wxUr--k,I Survived 50 HOURS in a CIRCLE in Minecraft Hardcore,2022-11-18,UCIVSqoHCUN1XdEpiVItxfoQ,aCookieGod,Gaming,2022-11-22,acookiegod|a cookie god|a cookie god minecraft|cookie minecraft|minecraft cookie|minecraft cookie god|cookie god|acookiegod series|acookiegod hardcore|minecraft hardcore|hardcore minecraft|minecraft|extracookie|50 hours|i survived 50 hours in a circle in minecraft hardcore|50 hours in a circle in minecraft hardcore|minecraft hardcore but i survived 50 hours in a circle,2389485,79300,0,6301,https://i.ytimg.com/vi/VYK7wxUr--k/default.jpg,false,false
167271,ghc2ygfOSpA,BI 비아이  Keep me up MV,2022-11-18,UC-_-SGJ5Zkq-MtppuOJoNvw,131online,Music,2022-11-22,entertainment|엔터테인먼트|131|일삼일|ONE THREE ONE|music|음악|Kpop|케이팝|BI|비아이|김한빈|한빈|Keepmeup|Performance|LOL|LoveorLoved|BI|Dance|Challenge,1507621,198639,0,11893,https://i.ytimg.com/vi/ghc2ygfOSpA/default.jpg,false,false
167272,rJsHlL2Z12g,Ehrliches QA Beziehung Burnout Bauernhof,2022-11-17,UCzrwDTU6gomqaAV8Wxr6G5g,Wurzelwerk,Howto & Style,2022-11-22,faq|qa|selbstversorger|garten|gemüsegarten|beziehung|burnout|haus kaufen|hof kaufen|wurzelwerk,173497,5607,0,308,https://i.ytimg.com/vi/rJsHlL2Z12g/default.jpg,false,false
167273,rY4eIghfebM,Das MobilisierungsDesaster Wie Putin seine Propagandisten verwirrt   Fake News  ARTE,2022-11-17,UCLLibJTCy3sXjHLVaDimnpQ,ARTEde,News & Politics,2022-11-22,mythen über den westen|westen fake news|fake news|fake news russland|russische fake news|doshd|doshd tv|masha borzunova|masha borzunova arte|fake news arte|arte fake news|arte tracks east|tracks east arte|doku hd|dokumentation|arte doku|chaos im staats tv,444238,14401,0,2048,https://i.ytimg.com/vi/rY4eIghfebM/default.jpg,false,false
167274,FAOihsdHKdY,WIR TRAINIEREN MIT EINER BUNDESLIGA FRAUENMANNSCHAFT,2022-11-17,UCgmHVWU9vo_Y4fiQSCfGGRw,Brotatos,Entertainment,2022-11-22,fußball|challenge|brotatos|fußball challenge brotatos|fußball challenge|Wir trainieren mit einer Bundesliga Mannschaft|wir trainieren mit einer Bundesliga mannschaft|wir trainieren mit Bundesliga mannschaft|wir trainieren mit mannschaft aus 1 Liga|training mit Bundesliga mannschaft|training mit Bundesliga team|wir haben training mit Bundesliga Mannschaft|brotatos training mit Bundesliga mannschaft|brotatos training Bundesliga|brotatos bundesliga|kreisliga vs Bundesliga,300536,15841,0,885,https://i.ytimg.com/vi/FAOihsdHKdY/default.jpg,false,false
167275,9bJQrmxDDkw,Suche nach WW2 Gewehr  Wir finden VIEL MEHR,2022-11-17,UC14t0yOqM9lS04L66dTlS4w,German Treasure Hunter,Entertainment,2022-11-22,WW2|Waffenlager|MG Suche|MG Suche Teil 3|Militaria|Schatzsuche|Metalldetektor|Abrüstplatz|vergraben|Deutsche Wehrmacht|Geschichte|unglaublich|Panzerfaust|SMine|Sprengmine|Mine|Minen|Handgranaten|Kampfmittel|Kampfmittelbeseitigung|Sprengung|Sperrzone|Feuerwehr|Abenteuer|krasse Funde|unter der Erde|zweiter Weltkrieg|Geschichten|Markus Wipperfürth|Wippi|Carsten Konze|German Treasure Hunter,124436,4270,0,537,https://i.ytimg.com/vi/9bJQrmxDDkw/default.jpg,false,false
167276,qK_Mpcs8qAE,MEIN SHOP IST FERTIG  CRAFT ATTACK 10 21,2022-11-18,UC5rz_m2sWRnpG--KyWHsQTg,Bastian,Gaming,2022-11-22,minecraft|mc|challenge|bastighg|ghg|pvp|german|deutsch|texturepack|basti ghg|hardcore|fiverr|stunden|großprojekt|folge|welt|craft attack|attack|craft attack 10|bastighg craft attack|tutorial|bastian|farm|automatisch|op|randomizer|bau|projekt|update|alles|fertig|warden|sterben|ist|ist fertig|wither|shulker|neu|shop|bauen|kaufen|verkaufen|20|folge 20|tod|bestof|pyra|bastighg challenge|pyramide|120|reich|highlight|21|folge 21|quiz|format|bald|endlich|xxxl|loch|see|landschaft|biom,305227,24949,0,395,https://i.ytimg.com/vi/qK_Mpcs8qAE/default.jpg,false,false
