trending_no,video_id,title,publishedat,channelid,channeltitle,categoryid,trending_date,tags,view_count,likes,comment_count
93,NcmwJtoD1Ys,حاولت اعيش كشبح في ماين كرافت ,2022-11-19,UCRoN26RkGIVJx010SLgkP3w,Flix,Gaming,22.30.11,none,412584,32789,647
94,jEwfBNYC_IE,اول شخص يفتح الخزنة يفوز ,2022-11-23,UCm6dEXyAMIy0njEOW-suLww,POWR eSports,Entertainment,22.30.11,none,1188455,101124,1567
95,0_KZs6XIvTg,من 001 الى كأس العالم قطر في 30 يوم اليوم 21,2022-11-23,UC4kb-WfHhIQoKyd6ixL9kWw,كمستكا,Gaming,22.30.11,none,1048722,93291,2218
96,U3stl9dA3NY,Mohamed Ramadan  Shahinaz  Law Naseen Lyrics Video  محمد رمضان و شاهيناز  لو ناسيين أفكركوا,2022-11-17,UCJCj2HtcnbOyCj1rmKaxwJg,Mohamed Ramadan I محمد رمضان,Entertainment,22.30.11,اغنية|اغاني|مهرجان|راب|رقص|جديد|الجديد|صيف|٢٠٢٢|حفلة|محمدرمضان|نمبر وان|مصر|فضيحة|فضيحه|فيديو|كليب|كليبات|كده|بوص|اوي|تريند|التريند|mohamedramadan|song|music|video|views|one|new|summer|2022|2023|africa|egypt|هدف|اهداف|مباراة|كاس العالم قطر|لو ناسيين افكركوا|لو ناسيين محمد رمضان|law naseen afkrko|اغنية محمد رمضان وشاهيناز|mohamed ramadan ft shahinaz,2406193,25401,1495
97,16MMSzu0844,مين قال للثاني بحبك اول  ,2022-11-17,UCFGZTrhn2GbEsgQ8-12-rIA,Ghaith Marwan غيث مروان,Education,22.30.11,تحدي|فلوق|vlog|غيث مروان|غيث|تحديات غيث|مقالب غيث|ghaith|ghaith marwan|gaith|مقالب|كريم ديب|عمرو قضاه|زياد و سارة|ايدي|اسلام|انس و اصالة|انصالة|اسامة مروة|تيم مروان|مين قال للثاني بحبك اول  |غيث و سارة|ghaith and sara,4792158,341428,16235
98,UQCkoyxjZmc,Ahmed Saad  Wa2t Sheda  Official Music Video  حبينا ناس بيخدعونا  احمد سعد  وقت شده,2022-11-16,UCBzJgJllSsZunDTD1ekAciA,Ahmed Saad,Music,22.30.11,Mazzika|مزيكا|Music|Music Video|كليب|Video|فيديو|حصري|مطرب|موسيقى|على وضعك|أحمد سعد|Ahmed Saad|احمد سعد|كل يوم|كل يوم بيفوت و يمشي|الملوك|جت الملوك|Wa2t Sheda|وقت شده|حبينا ناس بيخدعونا|عايشين تمام وميه ميه|متشكرين لكل خاين|حبينا ناس بيخدعونا في وقت شده بيسبونا|صش2ف ساثيش|وقت الشده|wakt el sheda|wa2t|shda|وسع وسع|مين اللى جاي|إيه اليوم الحلو ده|موسم الرياض|Tukoh Taka|FIFA|World Cup|Nicki Minaj|Myriam Fares|Maluma|world cup song|كأس العالم,1683056,33504,1135
99,lAXxQL377M0,حجزت لليوتيوبرز اغرب سكن في كأس العالم قطر ,2022-11-21,UCOeqhT9p_VmS8NOHQvhp2FQ,Aziz  عزيز,Gaming,22.30.11,فيفا|جيمرز|العاب|جيمنج|سعودي|قيمرز|بندر|بندريتا|ماريو|فورت|نايت|فورتنايت|احمد|شو|فلة|ابو|ابوفلة|ببجي|موبايل|عزيز|تشوبرز|عبير|ابو عبير|قلوري|اوبلز|فيرفول|شونق|شحنة|بكج|بكجات|ايكون,326336,24566,246
100,-UWGms0Nxb8,قصة الشاب القطري الذي ظهر بجوار مورغان فريمان في حفل افتتاح كأس العالم,2022-11-20,UCahpxixMCwoANAftn6IxkTg,AlArabiya العربية,News & Politics,22.30.11,العربية|مباشر|سياسة|أخبار|اخبار|تقرير|al jazeera|alarabiya|البث الحي|البث الحي لقناة العربية|live stream|الجزيرة|الجزيرة مباشر|الحدث|قناة الجزيرة|سكاي نيوز|قناة العربية|نادين خماش|صهيب شراير|لارا نبهان|خالد المدخلي|سارة الدندراوي|عادل عيدان|بودكاست|live|الجزيره|العربيه|تحقيقات|وثائقي|لايف|تطبيق|تليجرام|2021|google|بث مباشر|vod|livestream|البث المباشر|ستريم|موجز|نشرة الاخبار|واتساب|بايدن|الكونغرس الامريكي|قطر|برودكاست|السعودية|العربية بث مباشر|كورونا|فيروس,1025604,12897,720
101,SKWF872PPWA,The Blind Date Show 2  Episode 15 with Asma  Ahmed,2022-11-16,UCboi9tFaUpreNfGMBoZ339A,BingeCircle,Entertainment,22.30.11,BingeCircle|Binge Circle|BC|OVERDOSED|Leh El Masryeen|Awel Binge|Fameable|Fameable 2|BC Videos|RELATIONSHIT|RELATIONSHT|Hotspot|The Blind Date Show|بينچ سيركل|بينج سيركل|ليه المصريين|اوڤردوزد|اوڤر دوز|أول بينچ|فامبل|ريلاشنشيت|هوتسبوت|هوت سبوت|ذا بليند ديت شو|The Blind Date Show 2|The Blind Date Show Season 2|The Blind Date|Farm Frites|Episode 15|Asma  Ahmed|Asma and Ahmed|Asma Sherif Moneer|أسما شريف منير,783972,30910,1421
102,udYAScIPRvE,أقوى مقلب في بوخلود من ارتفاع 30 الف قدم  ,2022-11-20,UCQIFqvNXQavNXGpyy6LEp0A,Loko Friends,Entertainment,22.30.11,لوكو|فرندز|لوكوفريندز|طيران|تحدي|تحديات|ضحك|وناسة|سفر|تحديات بحر|تحدي جوي|بوخلود|يوسف|يويو|كوكو|هوشة|أعمق مسبح|مسابح|بحرية|بحر|كورة|نطات|قفزات|طييارة|سكادايڤ|Skydiving|لوحوفريندز|لوجو|لوكوو,488344,21916,306
103,lzNPHARjoxs,ميسي وينو كسرنا عينو  ,2022-11-23,UCKrzNQINh6mc03WbgMA5EGA,عبدالله النعيمي,Sports,22.30.11,عبدالله النعيمي|عبد الله النعيمي|النعيمي|برشلونة|ريال مدريد|مدريد|البارسا|الليغا|دوري الأبطال|الابطال|ردة فعل,624550,50555,1771
104,MQ-bL-qtvk0,تحدي رجعنا على المدرسة انا و أخواتي ,2022-11-20,UCWXYdNyGX01rnTB-tQci8JQ,Narins Beauty,Entertainment,22.30.11,Narıns beauty|نارين|تحديات شيرين و نارين|مقالب|ميك اب|نارين بيوتى|فلوج|make up|beauty|narine|تحديات|لو خيروني|روتيني اليومي|routine|اسئله و اجوبه|انواع البنات|مشترياتي|رحلات|سفر|روتيني الصباحي|روتيني المسائي|تحدي الضحك|hauls|فلوجات|vlog|دقيقه لتشتري اي شي|شيرين بيوتي|نارين و سيدرا و شيرين|سيدرا بيوتي|شيرو شو|نارين و اخواتها,1645326,96259,4902
105,5CiQ7onWyW8,أنا مشجع سعودي في كأس العالم  عمر_يجرب,2022-11-23,UC7lfpgPpjx7YvuE12_UcGrg,عمر فاروق Omar Farooq,People & Blogs,22.30.11,عمر يجرب|عمر_يجرب|omar farooq|bahrain|عمر|فاروق|البحرين|omr94|omarfarooq|سنة|bts|اكتشاف|قطر|كاس العالم|كأس العالم|٢٠٢٢|الأرجنتين|مشجعين|مباراة|مشجع|تشجيع|لقطة|world cup|fans|2022|qatar|doha|argentina|brazil|match|highlights|qatar world cup|qatar2022|messi|win|ميسي|وينه|كسرنا|عينه,1334091,96837,3140
106,jIDZlj2JxzU,الحمدلله ياحبيبي ربي إني مسني الضر وأنت أرحم الراحمين ,2022-11-16,UC-xfN8lG_XqI9Lo1kF7GBSQ,Aya Koky77,Science & Technology,22.30.11,none,292325,12438,2390
107,Ghv2EG4TulQ,تحدي فيفا كأس العالم  أقوى بطولة للتاريخ  FIFA 23,2022-11-18,UCsx34Mgq868blrmlALy9lJQ,Saud Brothers Gaming,People & Blogs,22.30.11,تحدي|فيفا|فيفا 23|كأس العالم|2022|world|world cup|world cup 2022|challenge|saud|saud channel|saud brothers|cup|fifa|fifa23|23,1251682,64913,2162
